area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Hulimavu,1248.0,2.0,1.0,69.0,2.0,5528.846153846154
Built-up  Area,Ready To Move,Kalkere,1147.0,2.0,1.0,54.0,2.0,4707.933740191805
Super built-up  Area,Ready To Move,Sultan Palaya,1100.0,2.0,2.0,40.0,2.0,3636.3636363636365
Super built-up  Area,Ready To Move,Vijayanagar,1527.0,3.0,2.0,115.0,3.0,7531.106745252128
Plot  Area,Ready To Move,Shantiniketan Layout,2400.0,5.0,2.0,235.0,5.0,9791.666666666666
Super built-up  Area,21-Dec,Kanakpura Road,525.0,1.0,1.0,25.0,1.0,4761.9047619047615
Super built-up  Area,Ready To Move,Kaggadasapura,1100.0,2.0,3.0,58.0,2.0,5272.727272727273
Super built-up  Area,17-Dec,Seegehalli,1118.0,2.0,2.0,37.5,2.0,3354.2039355992843
Super built-up  Area,20-Dec,Kanakapura,1476.0,3.0,1.0,75.0,3.0,5081.30081300813
Built-up  Area,Ready To Move,Gopal Reddy Layout,2100.0,3.0,1.0,75.0,3.0,3571.4285714285716
Super built-up  Area,18-Apr,Roopena Agrahara,1215.0,2.0,2.0,46.5,3.0,3827.1604938271603
Super built-up  Area,Ready To Move,Ambalipura,1332.0,2.0,1.0,79.0,2.0,5930.930930930931
Super built-up  Area,Ready To Move,Hennur Road,1350.0,2.0,3.0,49.0,2.0,3629.6296296296296
Plot  Area,Ready To Move,Kothannur,600.0,4.0,1.0,81.0,4.0,13500.0
Super built-up  Area,Ready To Move,Haralur Road,1243.0,2.0,2.0,46.0,2.0,3700.7240547063557
Super built-up  Area,Ready To Move,NGR Layout,1105.0,2.0,2.0,49.73,2.0,4500.4524886877825
Plot  Area,Ready To Move,Padmanabhanagar,1500.0,2.0,1.0,200.0,3.0,13333.333333333334
Super built-up  Area,Ready To Move,Kasavanhalli,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
Super built-up  Area,18-Jun,Ramagondanahalli,1251.0,2.0,1.0,47.4,2.0,3788.968824940048
Super built-up  Area,Ready To Move,Kambipura,883.0,2.0,1.0,45.0,2.0,5096.262740656852
Super built-up  Area,Ready To Move,Pai Layout,1400.0,2.0,3.0,67.0,3.0,4785.714285714285
Super built-up  Area,Ready To Move,Rajaji Nagar,1800.0,3.0,3.0,260.0,3.0,14444.444444444445
Super built-up  Area,Ready To Move,Hegde Nagar,1703.0,3.0,2.0,113.0,3.0,6635.3493834409865
Super built-up  Area,Ready To Move,NRI Layout,2500.0,5.0,3.0,130.0,5.0,5200.0
Super built-up  Area,Ready To Move,Varthur,1250.0,3.0,2.0,71.0,3.0,5680.0
Super built-up  Area,Ready To Move,Jigani,933.0,2.0,2.0,43.0,2.0,4608.788853161844
Plot  Area,Ready To Move,sankeswari,461.82,1.0,1.0,31.7,1.0,6864.146204148803
Super built-up  Area,Ready To Move,Brookefield,1262.0,2.0,1.0,75.0,2.0,5942.947702060222
Super built-up  Area,Ready To Move,Yelahanka,915.0,2.0,2.0,48.0,2.0,5245.901639344263
Super built-up  Area,Ready To Move,Panathur,1370.0,2.0,2.0,61.5,3.0,4489.051094890511
Super built-up  Area,Ready To Move,Malleshpalya,1210.0,2.0,3.0,55.0,2.0,4545.454545454545
Super built-up  Area,Ready To Move,Kodihalli,2392.0,4.0,2.0,260.0,3.0,10869.565217391304
Plot  Area,18-Feb,T c palya,1500.0,2.0,0.0,85.0,3.0,5666.666666666667
Super built-up  Area,Ready To Move,Govindraja Nagar,1065.0,2.0,3.0,50.0,2.0,4694.835680751174
Super built-up  Area,Ready To Move,Rajaji Nagar,3100.0,4.0,2.0,570.0,4.0,18387.09677419355
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1515.0,3.0,3.0,65.0,3.0,4290.42904290429
Plot  Area,19-Dec,Sarjapura - Attibele Road,1800.0,4.0,2.0,110.0,4.0,6111.111111111111
Super built-up  Area,Ready To Move,Thanisandra,1445.0,2.0,3.0,40.31,3.0,2789.61937716263
Super built-up  Area,Ready To Move,Uttarahalli,1300.0,2.0,1.0,55.0,3.0,4230.7692307692305
Built-up  Area,Ready To Move,Vijayanagar,989.0,2.0,0.0,60.0,2.0,6066.734074823054
Super built-up  Area,Ready To Move,Jakkur,1300.0,2.0,1.0,85.0,2.0,6538.461538461538
Super built-up  Area,18-Jul,Chandapura,1185.0,2.0,2.0,30.22,3.0,2550.2109704641352
Plot  Area,Ready To Move,Battarahalli,1350.0,3.0,1.0,110.0,5.0,8148.148148148148
Super built-up  Area,Ready To Move,Marathahalli,1045.0,2.0,3.0,60.0,2.0,5741.626794258374
Super built-up  Area,18-Feb,Virat Nagar,1205.0,2.0,2.0,42.18,2.0,3500.414937759336
Super built-up  Area,Ready To Move,Chennammanakere Achukattu,1260.0,2.0,1.0,75.0,2.0,5952.380952380952
Plot  Area,Ready To Move,Devanahalli Road,1320.0,5.0,2.0,199.0,5.0,15075.757575757576
Super built-up  Area,Ready To Move,Ulsoor,1500.0,2.0,2.0,125.0,3.0,8333.333333333334
Super built-up  Area,18-May,Bommanahalli,1250.0,2.0,2.0,42.5,3.0,3400.0
Built-up  Area,18-Jul,"Maragondana Halli, kr puram, old madras road",1199.0,2.0,2.0,50.0,2.0,4170.141784820684
Super built-up  Area,Ready To Move,Hennur Road,1385.0,2.0,1.0,83.09,2.0,5999.27797833935
Plot  Area,Ready To Move,Dhanalakshmi Layout,1222.0,5.0,3.0,250.0,6.0,20458.265139116203
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1149.0,2.0,1.0,75.0,2.0,6527.415143603133
Super built-up  Area,Ready To Move,Sarjapur  Road,2180.0,3.0,2.0,170.0,3.0,7798.165137614679
Plot  Area,Ready To Move,TC Palaya,1200.0,7.0,1.0,110.0,8.0,9166.666666666666
Super built-up  Area,Ready To Move,Jp nagar 8th Phase .,12000.0,12.0,2.0,525.0,10.0,4375.0
Plot  Area,Ready To Move,Thurahalli,1200.0,5.0,0.0,195.0,5.0,16250.0
Super built-up  Area,Ready To Move,Hulimavu,1818.0,3.0,1.0,135.0,3.0,7425.742574257426
Super built-up  Area,Ready To Move,Volagerekallahalli,1070.0,2.0,2.0,33.0,2.0,3084.11214953271
Super built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,241.0,3.0,14695.121951219513
Built-up  Area,Ready To Move,Nagarbhavi,1350.0,2.0,2.0,54.6,3.0,4044.4444444444443
Built-up  Area,Ready To Move,Chandapura,630.0,1.0,1.0,27.0,2.0,4285.714285714285
Super built-up  Area,22-Jun,Hoodi,1430.0,2.0,2.0,113.0,2.0,7902.097902097902
Super built-up  Area,Ready To Move,Nagavara,2430.0,4.0,3.0,180.0,3.0,7407.407407407408
Plot  Area,Ready To Move,Nobo Nagar,1500.0,7.0,3.0,220.0,6.0,14666.666666666666
Super built-up  Area,Ready To Move,Sarjapur  Road,1084.0,2.0,3.0,55.0,2.0,5073.8007380073805
Super built-up  Area,Ready To Move,Hennur Road,1186.0,2.0,1.0,56.0,3.0,4721.753794266442
Built-up  Area,Ready To Move,Kengeri,1255.0,2.0,2.0,50.0,2.0,3984.06374501992
Super built-up  Area,Ready To Move,Haralur Road,3400.0,5.0,3.0,240.0,4.0,7058.823529411765
Super built-up  Area,18-Dec,Hosa Road,1541.0,3.0,1.0,69.84,3.0,4532.121998702141
Super built-up  Area,Ready To Move,Iblur Village,3596.0,5.0,1.0,282.0,4.0,7842.046718576195
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,70.0,2.0,5405.405405405405
Plot  Area,Ready To Move,Kasavanhalli,1000.0,4.0,3.0,110.0,3.0,11000.0
Built-up  Area,Ready To Move,Sanjeevini Nagar,2820.0,3.0,2.0,285.0,3.0,10106.382978723404
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3.0,3999.2700729927005
Super built-up  Area,Ready To Move,Electronic City,1100.0,2.0,1.0,40.0,2.0,3636.3636363636365
Super built-up  Area,18-Apr,Hebbal,4772.0,6.0,2.0,510.0,4.0,10687.34283319363
Super built-up  Area,Ready To Move,Rajaji Nagar,1370.0,2.0,1.0,170.0,2.0,12408.759124087592
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3.0,3999.2700729927005
Super built-up  Area,Ready To Move,JP Nagar,1200.0,2.0,2.0,62.0,2.0,5166.666666666667
Plot  Area,Ready To Move,Gunjur,2000.0,3.0,0.0,95.0,4.0,4750.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,3500.0,4.0,2.0,300.0,4.0,8571.42857142857
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,3.0,240.0,5.0,20000.0
Plot  Area,Ready To Move,Kengeri,2400.0,5.0,2.0,253.0,4.0,10541.666666666666
Super built-up  Area,Ready To Move,Sarjapur  Road,1220.0,3.0,2.0,62.0,3.0,5081.9672131147545
Built-up  Area,Ready To Move,Kanakapura Road,1950.0,3.0,2.0,130.0,3.0,6666.666666666667
Super built-up  Area,Ready To Move,Somasundara Palya,1178.0,2.0,3.0,73.0,2.0,6196.9439728353145
Super built-up  Area,Ready To Move,Dasanapura,1286.0,3.0,2.0,61.44,3.0,4777.604976671851
Super built-up  Area,Ready To Move,Begur Road,1160.0,2.0,2.0,42.0,2.0,3620.689655172414
Super built-up  Area,Ready To Move,Jigani,918.0,2.0,2.0,55.0,2.0,5991.285403050109
Super built-up  Area,21-Dec,Electronic City,1563.0,3.0,2.0,91.84,3.0,5875.879718490083
Super built-up  Area,18-Nov,Govindpura,1326.0,2.0,1.0,62.17,2.0,4688.536953242836
Super built-up  Area,Ready To Move,3rd Block Jayanagar,1350.0,2.0,2.0,140.0,3.0,10370.37037037037
Super built-up  Area,17-Dec,Hebbal,3960.0,5.0,3.0,386.0,4.0,9747.474747474747
Super built-up  Area,Ready To Move,Begur Road,1240.0,2.0,2.0,39.06,2.0,3150.0
Super built-up  Area,Ready To Move,Kaggadasapura,1325.0,2.0,2.0,50.0,2.0,3773.5849056603774
Super built-up  Area,Ready To Move,Sonnenahalli,1100.0,2.0,1.0,44.0,2.0,4000.0
Super built-up  Area,Ready To Move,Cunningham Road,3875.0,3.0,2.0,800.0,3.0,20645.16129032258
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,1605.0,3.0,2.0,50.0,3.0,3115.264797507788
Super built-up  Area,Ready To Move,Hennur Road,5600.0,5.0,3.0,515.0,5.0,9196.42857142857
Super built-up  Area,Ready To Move,Somasundara Palya,1260.0,2.0,1.0,60.0,2.0,4761.9047619047615
Super built-up  Area,19-Dec,Hoodi,1553.0,3.0,2.0,83.09,3.0,5350.289761751449
Super built-up  Area,Ready To Move,Whitefield,1280.0,2.0,2.0,52.0,2.0,4062.5
Super built-up  Area,Ready To Move,Hebbal,1550.0,2.0,2.0,75.0,3.0,4838.709677419355
Super built-up  Area,Ready To Move,Arekere,1445.0,2.0,2.0,125.0,3.0,8650.519031141868
Super built-up  Area,Ready To Move,Murugeshpalya,1550.0,3.0,2.0,74.0,3.0,4774.193548387097
Super built-up  Area,Ready To Move,Electronics City Phase 1,1515.0,2.0,1.0,80.91,3.0,5340.59405940594
Super built-up  Area,19-Mar,Hosa Road,1332.0,2.0,1.0,86.12,3.0,6465.465465465465
Super built-up  Area,Ready To Move,Electronic City,1652.0,3.0,2.0,70.0,3.0,4237.28813559322
Super built-up  Area,Ready To Move,Hegde Nagar,1570.0,3.0,1.0,105.0,3.0,6687.898089171975
Plot  Area,Ready To Move,Sarjapur  Road,5400.0,4.0,3.0,725.0,4.0,13425.925925925925
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,794.0,1.0,1.0,60.0,1.0,7556.675062972292
Plot  Area,Ready To Move,Seegehalli,1200.0,2.0,0.0,62.0,3.0,5166.666666666667
Built-up  Area,Ready To Move,7th Phase JP Nagar,3600.0,3.0,2.0,410.0,4.0,11388.888888888889
Plot  Area,Ready To Move,Hosakerehalli,1200.0,3.0,2.0,175.0,3.0,14583.333333333334
Super built-up  Area,Ready To Move,JP Nagar,1650.0,3.0,1.0,220.0,4.0,13333.333333333334
Plot  Area,Ready To Move,Chandra Layout,600.0,2.0,1.0,85.0,4.0,14166.666666666666
Super built-up  Area,Ready To Move,HRBR Layout,2800.0,3.0,2.0,250.0,3.0,8928.57142857143
Super built-up  Area,Ready To Move,Sarjapur  Road,1750.0,3.0,2.0,110.0,3.0,6285.714285714285
Built-up  Area,Ready To Move,Hebbal,1053.0,2.0,1.0,48.0,2.0,4558.404558404558
Super built-up  Area,21-Dec,Kanakpura Road,1100.0,3.0,2.0,53.0,3.0,4818.181818181818
Super built-up  Area,Ready To Move,Kadubeesanahalli,1665.0,3.0,3.0,70.0,3.0,4204.204204204204
Plot  Area,Ready To Move,Outer Ring Road East,4051.0,4.0,3.0,345.0,4.0,8516.415699827203
Built-up  Area,Ready To Move,Bommasandra,1447.0,3.0,2.0,80.0,3.0,5528.6800276434005
Built-up  Area,Ready To Move,Balagere,1012.0,2.0,1.0,75.0,2.0,7411.067193675889
Super built-up  Area,Ready To Move,Malleshpalya,1900.0,3.0,2.0,60.0,3.0,3157.8947368421054
Super built-up  Area,Ready To Move,Narayanapura,1308.0,2.0,2.0,92.66,2.0,7084.0978593272175
Super built-up  Area,Ready To Move,Green Glen Layout,3250.0,4.0,2.0,230.0,4.0,7076.923076923077
Super built-up  Area,Ready To Move,Hormavu,1351.0,2.0,1.0,53.0,1.0,3923.019985196151
Super built-up  Area,18-Aug,Gunjur,1140.0,2.0,2.0,49.11,2.0,4307.894736842105
Super built-up  Area,22-May,Jakkur,3181.0,4.0,0.0,260.5,4.0,8189.248663942157
Built-up  Area,Ready To Move,Uttarahalli,1250.0,2.0,1.0,55.0,3.0,4400.0
Super built-up  Area,Ready To Move,Kanakapura,1290.0,3.0,3.0,45.15,3.0,3500.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0,6320.224719101124
Super built-up  Area,Ready To Move,Garudachar Palya,1320.0,2.0,2.0,60.6,3.0,4590.909090909091
Built-up  Area,Ready To Move,Akshaya Nagar,1662.0,3.0,2.0,85.5,3.0,5144.404332129964
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,45.0,2.0,3750.0
Built-up  Area,Ready To Move,Koramangala,1975.0,3.0,2.0,210.0,3.0,10632.911392405063
Super built-up  Area,Ready To Move,Garudachar Palya,1295.0,2.0,2.0,59.5,3.0,4594.594594594595
Super built-up  Area,Ready To Move,Battarahalli,1777.0,3.0,2.0,100.0,3.0,5627.462014631401
Super built-up  Area,18-Apr,Kadugodi,1900.0,3.0,2.0,108.0,3.0,5684.210526315789
Super built-up  Area,17-Jul,Anandapura,1576.0,3.0,2.0,59.1,3.0,3750.0
Super built-up  Area,Ready To Move,Sompura,1020.0,2.0,3.0,41.0,2.0,4019.607843137255
Super built-up  Area,Ready To Move,Green Domain Layout,2100.0,3.0,3.0,170.0,3.0,8095.238095238095
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,648.0,1.0,1.0,31.75,1.0,4899.691358024691
Super built-up  Area,Ready To Move,Neeladri Nagar,1167.0,2.0,1.0,38.0,3.0,3256.212510711225
Plot  Area,Ready To Move,Vyalikaval,1000.0,7.0,3.0,160.0,7.0,16000.0
Super built-up  Area,Ready To Move,Hoodi,1220.0,2.0,2.0,50.89,2.0,4171.311475409836
Super built-up  Area,Ready To Move,Kogilu,2350.0,5.0,1.0,327.0,3.0,13914.893617021276
Super built-up  Area,Ready To Move,Vittasandra,1259.0,2.0,1.0,67.4,2.0,5353.455123113583
Built-up  Area,Ready To Move,Gottigere,2000.0,4.0,2.0,82.0,4.0,4100.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3.0,4444.444444444444
Built-up  Area,Ready To Move,Cleveland Town,1991.0,3.0,2.0,160.0,3.0,8036.162732295329
Super built-up  Area,Ready To Move,Bannerghatta,1665.0,3.0,3.0,110.0,3.0,6606.606606606607
Built-up  Area,20-Dec,"Hoodi Circle, ",1234.0,2.0,1.0,61.0,2.0,4943.273905996759
Super built-up  Area,Ready To Move,Mysore Road,1340.0,2.0,2.0,64.31,3.0,4799.253731343284
Super built-up  Area,Ready To Move,Banashankari,1170.0,2.0,2.0,46.79,2.0,3999.1452991452993
Built-up  Area,Ready To Move,Electronics City Phase 1,995.0,2.0,0.0,46.0,2.0,4623.115577889447
Super built-up  Area,Ready To Move,Old Airport Road,1075.0,2.0,2.0,60.0,2.0,5581.395348837209
Super built-up  Area,18-Apr,Electronic City,1025.0,2.0,1.0,54.5,2.0,5317.073170731707
Super built-up  Area,Ready To Move,Rachenahalli,2721.0,3.0,2.0,113.0,3.0,4152.884968761485
Super built-up  Area,Ready To Move,Thanisandra,2000.0,3.0,2.0,99.0,3.0,4950.0
Super built-up  Area,Ready To Move,Whitefield,2500.0,4.0,3.0,155.0,4.0,6200.0
Super built-up  Area,Ready To Move,Mallasandra,1325.0,2.0,2.0,70.0,2.0,5283.018867924528
Super built-up  Area,18-Apr,Kadugodi,1314.0,2.0,3.0,68.2,2.0,5190.258751902587
Super built-up  Area,21-Feb,Kanakpura Road,2265.0,3.0,2.0,136.0,3.0,6004.415011037528
Built-up  Area,Ready To Move,7th Phase JP Nagar,4800.0,7.0,0.0,170.0,7.0,3541.6666666666665
Super built-up  Area,21-Dec,Yelahanka,1026.0,2.0,1.0,41.0,2.0,3996.101364522417
Built-up  Area,Ready To Move,Syndicate Bank Colony,1200.0,3.0,2.0,66.0,3.0,5500.0
Built-up  Area,Ready To Move,Kada Agrahara,2220.0,4.0,2.0,65.0,3.0,2927.927927927928
Super built-up  Area,18-Sep,KR Puram,1192.5,2.0,0.0,51.22,2.0,4295.17819706499
Super built-up  Area,18-Dec,Hebbal,1420.0,2.0,1.0,99.39,2.0,6999.295774647887
Super built-up  Area,Ready To Move,Sarjapur  Road,1888.0,4.0,1.0,95.0,3.0,5031.779661016949
Super built-up  Area,18-May,JP Nagar,1300.0,2.0,1.0,90.87,2.0,6990.0
Super built-up  Area,18-May,Rajaji Nagar,1216.0,2.0,0.0,97.16,2.0,7990.131578947368
Plot  Area,19-Dec,"Off Sarjapur road, ",3000.0,4.0,3.0,342.0,4.0,11400.0
Built-up  Area,Ready To Move,Begur,1559.0,3.0,2.0,63.0,3.0,4041.0519563822963
Super built-up  Area,Ready To Move,Harlur,1290.0,2.0,1.0,87.0,2.0,6744.186046511628
Plot  Area,Ready To Move,M C Layout,2400.0,6.0,2.0,245.0,6.0,10208.333333333334
Built-up  Area,18-Jun,Whitefield,905.0,1.0,1.0,55.0,1.0,6077.348066298343
Built-up  Area,Ready To Move,Nanjappa Layout,1069.0,2.0,2.0,55.0,2.0,5144.9953227315245
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,829.0,2.0,1.0,22.8,2.0,2750.301568154403
Built-up  Area,Ready To Move,Koramangala,1900.0,2.0,1.0,200.0,2.0,10526.315789473685
Built-up  Area,Ready To Move,Sarjapur  Road,1300.0,3.0,2.0,60.0,3.0,4615.384615384615
Super built-up  Area,Ready To Move,Channasandra,1115.0,2.0,1.0,33.45,2.0,3000.0000000000005
Super built-up  Area,Ready To Move,Rajaji Nagar,2409.0,3.0,2.0,360.0,3.0,14943.960149439601
Super built-up  Area,Ready To Move,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3.0,5813.953488372093
Super built-up  Area,19-Mar,Marathahalli,1305.0,2.0,1.0,69.0,3.0,5287.35632183908
Super built-up  Area,20-Dec,Kanakpura Road,1252.0,2.0,1.0,56.32,2.0,4498.402555910543
Plot  Area,Ready To Move,Hosakerehalli,2400.0,5.0,2.0,250.0,5.0,10416.666666666666
Plot  Area,18-Sep,Whitefield,1200.0,2.0,1.0,46.13,2.0,3844.1666666666665
Built-up  Area,Ready To Move,Koramangala,1750.0,3.0,1.0,130.0,3.0,7428.571428571428
Super built-up  Area,Ready To Move,Electronic City Phase II,545.0,1.0,1.0,35.0,2.0,6422.018348623853
Plot  Area,Ready To Move,BEL Layout,1375.0,2.0,1.0,105.0,2.0,7636.363636363636
Super built-up  Area,Ready To Move,Subramanyapura,1313.0,2.0,2.0,66.5,2.0,5064.737242955065
Plot  Area,Ready To Move,Attibele,3640.0,4.0,1.0,275.0,4.0,7554.945054945055
Super built-up  Area,20-Dec,Akshayanagara East,1693.0,3.0,2.0,108.0,3.0,6379.208505611341
Super built-up  Area,Ready To Move,JCR Layout,1160.0,2.0,1.0,41.75,2.0,3599.137931034483
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,1200.0,3.0,0.0,200.0,3.0,16666.666666666668
Super built-up  Area,Ready To Move,Subramanyapura,1255.0,2.0,2.0,79.0,3.0,6294.820717131474
Plot  Area,Ready To Move,KR Puram,1000.0,4.0,1.0,75.0,4.0,7500.0
Built-up  Area,Ready To Move,Bellari Road,900.0,2.0,1.0,45.0,2.0,5000.0
Super built-up  Area,Ready To Move,Yelahanka New Town,1700.0,3.0,2.0,90.0,3.0,5294.117647058823
Carpet  Area,Ready To Move,Indira Nagar,1875.0,3.0,1.0,180.0,3.0,9600.0
Carpet  Area,Ready To Move,Uttarahalli,1700.0,3.0,2.0,88.0,3.0,5176.470588235294
Super built-up  Area,Ready To Move,Harlur,1749.0,3.0,2.0,115.0,3.0,6575.18582046884
Plot  Area,Ready To Move,Dasanapura,1500.0,3.0,1.0,65.0,2.0,4333.333333333333
Super built-up  Area,Ready To Move,Varanasi,1175.0,2.0,1.0,48.0,2.0,4085.1063829787236
Built-up  Area,Ready To Move,Akshaya Nagar,1280.0,2.0,1.0,60.0,2.0,4687.5
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
Super built-up  Area,Ready To Move,Ramagondanahalli,1610.0,2.0,2.0,115.0,3.0,7142.857142857143
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,1.0,46.0,2.0,4299.065420560748
Plot  Area,Ready To Move,TC Palaya,1200.0,2.0,0.0,66.0,2.0,5500.0
Super built-up  Area,19-Dec,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2.0,4436.557231588287
Built-up  Area,Ready To Move,Indira Nagar,1210.0,2.0,1.0,102.0,2.0,8429.752066115703
Built-up  Area,Ready To Move,Jyothi Nagar,600.0,2.0,1.0,23.0,2.0,3833.3333333333335
Super built-up  Area,Ready To Move,Thigalarapalya,4190.0,4.0,3.0,380.0,4.0,9069.212410501194
Super built-up  Area,Ready To Move,Tata Nagar,1364.0,2.0,2.0,70.0,2.0,5131.964809384164
Super built-up  Area,Ready To Move,Whitefield,2268.0,3.0,0.0,146.0,4.0,6437.389770723104
Super built-up  Area,Ready To Move,RK Layout 2nd Stage,1150.0,2.0,2.0,77.5,3.0,6739.130434782609
Super built-up  Area,Ready To Move,Tirumanahalli,1146.0,2.0,1.0,39.5,2.0,3446.7713787085513
Built-up  Area,Ready To Move,Magadi Road,1345.0,2.0,2.0,55.0,2.0,4089.2193308550186
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,2.0,41.0,2.0,3693.6936936936936
Built-up  Area,Ready To Move,Kengeri,750.0,2.0,1.0,36.0,2.0,4800.0
Built-up  Area,Ready To Move,Motappa Layout,1156.0,2.0,2.0,49.5,2.0,4282.006920415225
Super built-up  Area,Ready To Move,Pattandur Agrahara,1247.0,2.0,1.0,59.8,2.0,4795.50922213312
Super built-up  Area,Ready To Move,Mangammanapalya,1058.0,2.0,2.0,60.0,2.0,5671.077504725898
Super built-up  Area,Ready To Move,Kaggalipura,950.0,2.0,1.0,48.0,2.0,5052.631578947368
Super built-up  Area,Ready To Move,Vasanthapura,420.0,2.0,0.0,35.0,2.0,8333.333333333334
Plot  Area,Ready To Move,BTM 1st Stage,600.0,2.0,2.0,90.0,4.0,15000.0
Super built-up  Area,21-Jun,Vijayanagar,1520.0,2.0,1.0,103.0,3.0,6776.315789473684
Super built-up  Area,Ready To Move,Marathahalli,1215.0,2.0,2.0,58.86,2.0,4844.444444444444
Built-up  Area,Ready To Move,Raghuvanahalli,900.0,1.0,1.0,30.0,1.0,3333.3333333333335
Super built-up  Area,Ready To Move,Hennur Road,2350.0,3.0,2.0,174.0,3.0,7404.255319148936
Super built-up  Area,Ready To Move,Thanisandra,1050.0,2.0,2.0,46.0,2.0,4380.952380952381
Super built-up  Area,Ready To Move, Devarabeesana Halli,1672.0,3.0,2.0,150.0,3.0,8971.291866028709
Plot  Area,Ready To Move,Laggere,2800.0,5.0,2.0,125.0,5.0,4464.285714285715
Super built-up  Area,Ready To Move,MCECHS  layout,1500.0,2.0,2.0,65.0,3.0,4333.333333333333
Super built-up  Area,Ready To Move,Geddalahalli,1400.0,2.0,2.0,65.0,2.0,4642.857142857143
Built-up  Area,Ready To Move,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4.0,4814.814814814815
Super built-up  Area,18-May,Bommasandra,920.0,2.0,1.0,37.46,2.0,4071.7391304347825
Plot  Area,18-Feb,Sarjapur  Road,1200.0,3.0,2.0,70.0,3.0,5833.333333333333
Built-up  Area,Ready To Move,Brindavan Nagar,1250.0,3.0,2.0,139.0,3.0,11120.0
Super built-up  Area,18-Mar,Hosakerehalli,1817.0,4.0,2.0,153.0,3.0,8420.473307649972
Plot  Area,Ready To Move,Cooke Town,2043.0,6.0,2.0,375.0,5.0,18355.359765051395
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2.0,4035.0877192982457
Built-up  Area,Ready To Move,Yelahanka,4346.0,4.0,1.0,450.0,4.0,10354.348826507134
Super built-up  Area,Ready To Move,Haralur Road,1464.0,2.0,2.0,56.0,2.0,3825.136612021858
Super built-up  Area,Ready To Move,Ambedkar Colony,1468.0,3.0,2.0,130.0,2.0,8855.58583106267
Super built-up  Area,Ready To Move,Electronics City Phase 1,1555.0,2.0,1.0,82.0,3.0,5273.311897106109
Plot  Area,Ready To Move,Munnekollal,1200.0,4.0,2.0,110.0,6.0,9166.666666666666
Built-up  Area,Ready To Move,Whitefield,1150.0,2.0,0.0,55.0,2.0,4782.608695652174
Super built-up  Area,19-Oct,Kadubeesanahalli,970.0,2.0,1.0,35.0,2.0,3608.2474226804125
Super built-up  Area,18-May,Banashankari,2500.0,4.0,3.0,95.0,4.0,3800.0
Super built-up  Area,Ready To Move,Seetharampalya,1166.0,2.0,1.0,53.0,2.0,4545.454545454545
Plot  Area,Ready To Move,Konanakunte,2779.0,3.0,1.0,317.0,3.0,11406.980928391507
Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,2.0,58.0,3.0,4296.2962962962965
Built-up  Area,Ready To Move,Mariyannapalya,900.0,2.0,3.0,46.0,2.0,5111.111111111111
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3.0,4000.0
Built-up  Area,Ready To Move,Kanaka Nagar,1190.0,3.0,1.0,55.0,3.0,4621.848739495798
Super built-up  Area,Ready To Move,Kodichikkanahalli,1495.0,2.0,2.0,75.0,3.0,5016.722408026756
Built-up  Area,Ready To Move,Indira Nagar,1224.0,2.0,2.0,105.0,2.0,8578.43137254902
Super built-up  Area,Ready To Move,Banashankari Stage III,1350.0,2.0,2.0,68.0,3.0,5037.037037037037
Built-up  Area,Ready To Move,Green Glen Layout,940.0,2.0,1.0,56.8,2.0,6042.553191489362
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1100.0,2.0,1.0,55.0,2.0,5000.0
Super built-up  Area,Ready To Move,Kaikondrahalli,1300.0,2.0,2.0,61.0,2.0,4692.307692307692
